"","id","group","allele_count","anc_prop"
"611","HPZ-","non-transloc",100000,1
"612","HS-GZ","non-transloc",100000,1
"613","HS-ZH","non-transloc",100000,1
"614","HSA-Z","ANF",12440,0.1244
"615","HSA-Z","FTS",12486,0.12486
"616","HSA-Z","WSF-CITRUS",50000,0.5
"617","HSA-Z","non-transloc",25074,0.25074
"618","HSG-Z","ANF",37362,0.37362
"619","HSG-Z","CBJTC",12448,0.12448
"620","HSG-Z","FTS",25259,0.25259
"621","HSG-Z","non-transloc",24931,0.24931
"622","HSH-Z","ANF",62556,0.62556
"623","HSH-Z","non-transloc",37444,0.37444
"624","HSP-Z","ANF",12495,0.12495
"625","HSP-Z","FTS",24940,0.2494
"626","HSP-Z","non-transloc",62565,0.62565
"627","HSS-Z","ANF",34517,0.34517
"628","HSS-Z","FTB",6058,0.06058
"629","HSS-Z","FTS",12435,0.12435
"630","HSS-Z","non-transloc",46990,0.4699
"631","HSY-Z","ANF",45399,0.45399
"632","HSY-Z","CBJTC",6206,0.06206
"633","HSY-Z","FTS",12673,0.12673
"634","HSY-Z","non-transloc",35722,0.35722
"635","HWA-Z","ANF",27808,0.27808
"636","HWA-Z","FTS",6298,0.06298
"637","HWA-Z","non-transloc",65894,0.65894
"638","HWB-Z","ANF",40802,0.40802
"639","HWB-Z","non-transloc",59198,0.59198
"640","HWG-Z","ANF",6333,0.06333
"641","HWG-Z","FTS",24923,0.24923
"642","HWG-Z","non-transloc",68744,0.68744
"643","HWH-Z","ANF",40653,0.40653
"644","HWH-Z","non-transloc",59347,0.59347
"645","HYA-Z","ANF",28139,0.28139
"646","HYA-Z","FTS",25196,0.25196
"647","HYA-Z","non-transloc",46665,0.46665
"648","HYB-Z","ANF",28044,0.28044
"649","HYB-Z","FTS",24846,0.24846
"650","HYB-Z","non-transloc",47110,0.4711
